City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Port Hardy,CA,2022-06-07 12:34:20,50.6996,-127.4199,48.2,93,75,2.3
189,Kavieng,PG,2022-06-07 12:34:21,-2.5744,150.7967,81.36,77,86,11.05
190,Grand-Santi,GF,2022-06-07 12:34:21,4.25,-54.3833,74.08,96,100,1.59
191,Bonfim,BR,2022-06-07 12:34:21,3.0833,-59.95,77.76,77,100,4.0
192,Severo-Kurilsk,RU,2022-06-07 12:32:23,50.6789,156.125,44.65,84,100,4.59
193,Kati,ML,2022-06-07 12:34:22,12.7441,-8.0726,85.41,28,21,9.4
194,Uglegorsk,RU,2022-06-07 12:34:23,49.0833,142.0333,46.35,87,70,3.62
195,Podor,MR,2022-06-07 12:34:23,16.6527,-14.9587,87.75,55,0,4.61
196,Isangel,VU,2022-06-07 12:34:24,-19.55,169.2667,68.11,94,15,3.44
197,Ugoofaaru,MV,2022-06-07 12:34:24,5.6667,73.0,82.9,72,100,10.33
198,Kouango,CF,2022-06-07 12:34:24,4.9934,19.9619,91.96,46,99,2.98
199,Norman Wells,CA,2022-06-07 12:34:25,65.282,-126.8329,50.04,81,100,3.44
200,Ust-Tsilma,RU,2022-06-07 12:34:25,65.441,52.1498,69.19,38,96,1.92
201,Saldanha,ZA,2022-06-07 12:34:26,-33.0117,17.9442,86.05,35,0,17.49
202,Verkhoturye,RU,2022-06-07 12:34:26,58.8627,60.8054,54.46,85,100,14.2
203,Port Alfred,ZA,2022-06-07 12:34:27,-33.5906,26.891,70.18,57,7,3.0
204,Ondjiva,AO,2022-06-07 12:33:53,-17.0667,15.7333,78.01,21,6,12.84
205,La Libertad,EC,2022-06-07 12:34:27,-2.2333,-80.9,69.46,94,100,6.91
206,Verkh-Usugli,RU,2022-06-07 12:34:28,52.7,115.1667,58.62,60,73,3.2
207,Yar-Sale,RU,2022-06-07 12:34:28,66.8333,70.8333,67.53,27,58,12.41
208,Paraiso,CR,2022-06-07 12:34:28,9.8383,-83.8656,63.46,92,100,0.74
209,Pochutla,MX,2022-06-07 12:34:29,15.7432,-96.4661,73.22,76,100,1.99
210,Severodvinsk,RU,2022-06-07 12:31:32,64.5635,39.8302,51.91,64,18,3.89
211,Deputatskiy,RU,2022-06-07 12:34:29,69.3,139.9,46.24,47,0,14.16
